Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
1,Texas,14,458,1013,2.21,9,32.71,72.36
2,Alabama,14,393,1111,2.83,5,28.07,79.36
3,TCU,13,402,1043,2.59,8,30.92,80.23
4,UCF,13,416,1076,2.59,12,32,82.77
5,Wisconsin,13,397,1147,2.89,8,30.54,88.23
6,Penn State,13,410,1168,2.85,6,31.54,89.85
7,Ohio State,13,410,1180,2.88,8,31.54,90.77
8,Nebraska,14,465,1294,2.78,7,33.21,92.43
9,Oklahoma,13,432,1208,2.8,10,33.23,92.92
10,North Carolina,13,439,1243,2.83,12,33.77,95.62
11,Oklahoma State,13,415,1245,3,13,31.92,95.77
12,Florida,14,448,1406,3.14,6,32,100.43
13,Syracuse,12,401,1222,3.05,15,33.42,101.83
14,Boston College,13,448,1340,2.99,11,34.46,103.08
15,Rutgers,13,441,1342,3.04,14,33.92,103.23
16,Kansas State,12,362,1265,3.49,10,30.17,105.42
17,Pittsburgh,13,425,1382,3.25,12,32.69,106.31
18,Temple,13,434,1399,3.22,9,33.38,107.62
19,Arizona State,12,384,1303,3.39,12,32,108.58
20,BYU,13,422,1432,3.39,15,32.46,110.15
21,Nevada,13,400,1450,3.63,15,30.77,111.54
22,Louisiana-Monroe,12,395,1341,3.39,20,32.92,111.75
23,California,13,435,1454,3.34,18,33.46,111.85
24,Michigan State,13,433,1472,3.4,10,33.31,113.23
25,Oregon State,13,392,1487,3.79,19,30.15,114.38
26,Missouri,13,463,1542,3.33,17,35.62,118.62
27,East Carolina,14,448,1684,3.76,11,32,120.29
28,Boise State,14,440,1685,3.83,15,31.43,120.36
29,Arizona,13,405,1566,3.87,16,31.15,120.46
30,Navy,14,435,1710,3.93,12,31.07,122.14
31,Miami (Florida),13,451,1590,3.53,10,34.69,122.31
32,Central Michigan,14,470,1720,3.66,16,33.57,122.86
33,Arkansas State,12,417,1475,3.54,15,34.75,122.92
34,Iowa,13,461,1607,3.49,9,35.46,123.62
35,Northern Illinois,13,421,1636,3.89,13,32.38,125.85
36,Georgia,13,480,1640,3.42,12,36.92,126.15
37,West Virginia,13,442,1647,3.73,9,34,126.69
38,Texas Tech,13,483,1648,3.41,18,37.15,126.77
39,USC,13,456,1666,3.65,18,35.08,128.15
39,Northwestern,13,441,1666,3.78,20,33.92,128.15
41,Virginia Tech,13,468,1669,3.57,10,36,128.38
42,Oregon,13,497,1673,3.37,15,38.23,128.69
43,Southern Mississippi,13,469,1708,3.64,18,36.08,131.38
44,Buffalo,12,388,1581,4.07,19,32.33,131.75
45,Connecticut,13,458,1727,3.77,19,35.23,132.85
46,LSU,13,494,1734,3.51,6,38,133.38
47,Air Force,13,465,1742,3.75,12,35.77,134
48,Marshall,13,405,1753,4.33,18,31.15,134.85
49,South Florida,13,449,1761,3.92,15,34.54,135.46
50,Middle Tennessee,13,512,1778,3.47,20,39.38,136.77
51,Kent State,12,451,1648,3.65,15,37.58,137.33
52,South Carolina,13,479,1790,3.74,16,36.85,137.69
53,Troy,13,430,1791,4.17,19,33.08,137.77
54,Utah,13,479,1792,3.74,17,36.85,137.85
55,Stanford,13,424,1793,4.23,19,32.62,137.92
56,Kansas,12,413,1659,4.02,23,34.42,138.25
57,North Carolina State,12,425,1669,3.93,26,35.42,139.08
58,Mississippi,13,470,1824,3.88,10,36.15,140.31
59,UCLA,13,469,1856,3.96,14,36.08,142.77
60,UAB,12,411,1724,4.19,21,34.25,143.67
61,Cincinnati,13,515,1869,3.63,20,39.62,143.77
62,Mississippi State,12,442,1752,3.96,18,36.83,146
63,Tulsa,12,457,1764,3.86,9,38.08,147
64,Washington,12,396,1786,4.51,17,33,148.83
65,Tennessee,13,460,1943,4.22,20,35.38,149.46
66,Maryland,12,460,1808,3.93,20,38.33,150.67
67,Clemson,14,606,2121,3.5,9,43.29,151.5
68,Georgia Tech,14,433,2123,4.9,17,30.93,151.64
69,Minnesota,13,513,1972,3.84,19,39.46,151.69
70,Colorado State,12,434,1825,4.21,22,36.17,152.08
71,Army,12,468,1826,3.9,15,39,152.17
72,Ball State,12,462,1828,3.96,14,38.5,152.33
73,Arkansas,13,501,1985,3.96,15,38.54,152.69
74,Duke,12,458,1834,4,18,38.17,152.83
75,Illinois,12,438,1853,4.23,22,36.5,154.42
76,Ohio,14,552,2163,3.92,15,39.43,154.5
77,Idaho,13,427,2020,4.73,27,32.85,155.38
78,Auburn,13,493,2033,4.12,25,37.92,156.38
79,Indiana,12,475,1916,4.03,20,39.58,159.67
80,Colorado,12,468,1934,4.13,16,39,161.17
81,Louisiana Tech,12,460,1952,4.24,17,38.33,162.67
82,Wake Forest,12,433,1972,4.55,17,36.08,164.33
83,New Mexico,12,509,1980,3.89,23,42.42,165
84,Louisville,12,466,1981,4.25,23,38.83,165.08
85,San Diego State,12,503,1986,3.95,23,41.92,165.5
86,Iowa State,13,495,2154,4.35,13,38.08,165.69
87,Toledo,12,421,1992,4.73,33,35.08,166
88,SMU,13,494,2167,4.39,22,38,166.69
89,Notre Dame,12,430,2043,4.75,18,35.83,170.25
90,Wyoming,13,511,2227,4.36,24,39.31,171.31
91,Texas A&M,13,485,2231,4.6,29,37.31,171.62
92,Akron,12,481,2063,4.29,23,40.08,171.92
92,Michigan,12,474,2063,4.35,20,39.5,171.92
94,Purdue,12,472,2081,4.41,26,39.33,173.42
95,Virginia,12,500,2086,4.17,22,41.67,173.83
96,Memphis,12,472,2089,4.43,22,39.33,174.08
97,Baylor,12,477,2145,4.5,19,39.75,178.75
98,Western Michigan,12,458,2150,4.69,19,38.17,179.17
99,Louisiana-Lafayette,12,474,2183,4.61,22,39.5,181.92
100,Kentucky,13,509,2378,4.67,18,39.15,182.92
101,Miami (Ohio),12,459,2243,4.89,30,38.25,186.92
102,Rice,12,483,2287,4.73,36,40.25,190.58
103,Bowling Green,13,471,2525,5.36,27,36.23,194.23
104,North Texas,12,484,2347,4.85,34,40.33,195.58
105,Vanderbilt,12,540,2374,4.4,19,45,197.83
106,UTEP,12,479,2410,5.03,25,39.92,200.83
107,Hawai'i,13,537,2624,4.89,33,41.31,201.85
108,Florida State,13,495,2668,5.39,27,38.08,205.23
109,Utah State,12,466,2466,5.29,25,38.83,205.5
110,Tulane,12,505,2495,4.94,33,42.08,207.92
111,Fresno State,13,463,2783,6.01,22,35.62,214.08
112,UNLV,12,467,2647,5.67,27,38.92,220.58
112,Florida Atlantic,12,431,2647,6.14,34,35.92,220.58
114,New Mexico State,13,511,2869,5.61,31,39.31,220.69
115,Houston,14,621,3172,5.11,37,44.36,226.57
116,Florida International,12,521,2794,5.36,33,43.42,232.83
117,Washington State,12,477,2837,5.95,35,39.75,236.42
118,Western Kentucky,12,522,2938,5.63,35,43.5,244.83
119,San Jose State,12,507,3110,6.13,35,42.25,259.17
120,Eastern Michigan,12,524,3322,6.34,39,43.67,276.83
